round,model,est_rank,percentile
340,integrated_v2,7270732,89.3
340,np_no_num,7230415,88.8
341,integrated_v2,4412773,54.2
341,np_no_num,4694578,57.6
342,integrated_v2,6878566,84.5
342,np_no_num,6453416,79.2
343,integrated_v2,4526798,55.6
343,np_no_num,4215265,51.8
344,integrated_v2,1050660,12.9
344,np_no_num,1424907,17.5
345,integrated_v2,7332631,90.0
345,np_no_num,7559867,92.8
346,integrated_v2,3481432,42.7
346,np_no_num,3449260,42.3
347,integrated_v2,2522399,31.0
347,np_no_num,3006191,36.9
348,integrated_v2,6434683,79.0
348,np_no_num,6965714,85.5
349,integrated_v2,7464167,91.6
349,np_no_num,7088699,87.0
350,integrated_v2,5018735,61.6
350,np_no_num,5748903,70.6
351,integrated_v2,5701664,70.0
351,np_no_num,6329617,77.7
352,integrated_v2,559945,6.9
352,np_no_num,886138,10.9
353,integrated_v2,7375798,90.6
353,np_no_num,7327337,90.0
354,integrated_v2,4526798,55.6
354,np_no_num,3501386,43.0
355,integrated_v2,5914647,72.6
355,np_no_num,6579251,80.8
356,integrated_v2,7273989,89.3
356,np_no_num,7364802,90.4
357,integrated_v2,414970,5.1
357,np_no_num,333931,4.1
358,integrated_v2,3075421,37.8
358,np_no_num,2882393,35.4
359,integrated_v2,6903000,84.8
359,np_no_num,6879381,84.5
360,integrated_v2,2797688,34.3
360,np_no_num,3471251,42.6
361,integrated_v2,7757782,95.2
361,np_no_num,7892576,96.9
362,integrated_v2,7303717,89.7
362,np_no_num,7304125,89.7
363,integrated_v2,2640496,32.4
363,np_no_num,2511404,30.8
364,integrated_v2,7614029,93.5
364,np_no_num,7525659,92.4
365,integrated_v2,5740351,70.5
365,np_no_num,6003016,73.7
366,integrated_v2,7344033,90.2
366,np_no_num,7368060,90.5
367,integrated_v2,7442991,91.4
367,np_no_num,7627875,93.7
368,integrated_v2,5697592,70.0
368,np_no_num,5444700,66.8
369,integrated_v2,106695,1.3
369,np_no_num,63528,0.8
370,integrated_v2,4135447,50.8
370,np_no_num,3231798,39.7
371,integrated_v2,4963759,60.9
371,np_no_num,5149457,63.2
372,integrated_v2,4069476,50.0
372,np_no_num,3211437,39.4
373,integrated_v2,5122987,62.9
373,np_no_num,5334340,65.5
374,integrated_v2,3576724,43.9
374,np_no_num,3481432,42.7
375,integrated_v2,4225853,51.9
375,np_no_num,4045042,49.7
376,integrated_v2,1183011,14.5
376,np_no_num,1325542,16.3
377,integrated_v2,3711518,45.6
377,np_no_num,4075991,50.0
378,integrated_v2,1834176,22.5
378,np_no_num,1875714,23.0
379,integrated_v2,7169331,88.0
